Restaurant,Similarity Score
"Tadashi on 12820 Hill Country Blvd, Ste E105",0.9466629091539515
La Mancha on 2203 Hancock Dr,0.9466629091539515
Verde's Mexican Parrilla on 16018 Hamilton Pool Rd,0.9466629091539515
Chuy's on 10520 N Lamar Blvd,0.9466629091539515
Iron Cactus on 10001 Stonelake Blvd,0.9466629091539515
"The Cheesecake Factory on 2901 S Capital Of Texas Hwy, Ste G02B",0.9466629091539515
El Meson on 2038 S Lamar Blvd,0.9466629091539515
P.F. Chang's on 10114 Jollyville Rd,0.9466629091539515
Azul Tequila on 3815 Dry Creek Dr,0.9466629091539515
High 5 on 1502 Ranch Rd 620 S,0.9443338273264082
